,Datetime,Tweet Id,Username,Text,Label
0,2022-12-30 02:37:40+00:00,1608653518281506818,Lesmono8i,@anggitob29 @HumasPolri @ListyoSigitP @mohmahfudmd @jokowi Cuma di @.. yg udah dilaporin aja ga ada tindaklanjut.. #percumalaporpolisi,Negative
1,2022-12-29 04:18:24+00:00,1608316477706469377,findnuralisah,"Bssn Brin Kominfo , gunanya apaan itu? Buang buang anggaran aja.
#Bjorkaisback
#Findnuralisah
#Percumalaporpolisi
#Mengayomitaianjing
#Presisicumasensasiminimprestasi https://t.co/EBynlRBkCY",Negative
2,2022-12-29 01:39:51+00:00,1608276578055733251,yujiniece,#percumalaporpolisi anjing bet ternyata,Negative
3,2022-12-28 17:36:03+00:00,1608154827569389570,findnuralisah,"Kerja belom, udah dimintain duit, kocak, tar kalo viral bilangnya itu cuma oknum, kalo ga viral, bilangnya itu udah sesuai SOP.
#bjorkaisback
#findnuralisah
#percumalaporpolisi
#mengayomitaianjing
#presisipenuhsensasiminimprestasi https://t.co/07Oy4fcyD9",Negative
4,2022-12-28 17:34:46+00:00,1608154504062697472,findnuralisah,"In great power, comes great responsibility, but not for POLRI.
#bjorkaisback
#findnuralisah
#percumalaporpolisi
#mengayomitaianjing
#presisipenuhsensasiminimprestasi https://t.co/4L51uCoqJ2",Negative
5,2022-12-28 12:05:45+00:00,1608071704538157056,findnuralisah,"#Bjorkaisback
#Findnuralisah
#Percumalaporpolisi https://t.co/61hclEOpKl",Neutral
6,2022-12-27 08:37:25+00:00,1607656885787983874,iamdedivanovic,"@Midjan_La_2 Indonesia krisis keamanan😐😐😐Polisi uda  gak ada gunanya kalau gak ada uang, Apalagi hukum???? 🤔🤔🤔🤔 #percumalaporpolisi",Negative
7,2022-12-27 07:32:34+00:00,1607640569362386946,AgusLihanda,"Iseng tanya kasusku yg pernah terjadi di tahun 2021. Eh sampe sekarang emang ga diusut kasusku sama pihak kepolisian😂. 

#percumalaporpolisi",Negative
8,2022-12-26 10:53:10+00:00,1607328664508862466,mudanewscom,"https://t.co/5oH90QbiLP

Lembaga Bantuan Hukum Majelis Wilayah Korps Alumni Himpunan Mahasiswa Islam Sumatera Utara (LBH MW KAHMI Sumut), Taufik Umar Dani Harahap SH
@jokowi
@mohmahfudmd
@puanmaharani_ri
@ListyoSigitP
@DivHumas_Polri
@henrysubiakto
#percumalaporpolisi",Neutral
9,2022-12-26 05:27:47+00:00,1607246777811619840,sumariedjem,"Sedangkan Pihak POLSEK Waru bisa mengamanin pelaku dalam waktu 1×24 Jam.

Kenapa PIHAK POLDA tidak bisa ??? Dengan alasan PROSEDUR @DivHumas_Polri @PoldaJogja 

#MosiTidakPercaya
#PercumaLaporPOLISI
#PercumaLaporPOLISIJogja",Negative
